"Demog" "lCI" "Median" "uCI"
"2013" "localN2" "30.975" "44" "59"
"2014" "localN2" "21" "30" "44"
"2015" "localN2" "31.975" "44" "59"
"2016" "localN2" "31" "44" "58"
"2017" "localN2" "28" "42" "58"
"2018" "localN2" "25" "39" "54"
"2019" "localN2" "31" "47" "64"
"2020" "localN2" "58" "81" "107"
"1973" "localN3" "64" "84" "102"
"1974" "localN3" "35" "51" "68"
"1975" "localN3" "22" "34" "49"
"1976" "localN3" "15" "25" "37"
"1977" "localN3" "33" "46" "61"
"1978" "localN3" "6" "13" "22"
"1979" "localN3" "9" "18" "28"
"1980" "localN3" "15" "24" "37"
"1981" "localN3" "12" "20" "30"
"1982" "localN3" "28" "40" "55"
"1983" "localN3" "19" "29" "42"
"1984" "localN3" "9" "19" "30"
"1985" "localN3" "7" "15" "25"
"1986" "localN3" "8" "15" "24"
"1987" "localN3" "3" "8" "16"
"1988" "localN3" "16" "27" "38"
"1989" "localN3" "18" "29" "40"
"1990" "localN3" "19.975" "31" "42"
"1991" "localN3" "4" "10" "17"
"1992" "localN3" "14" "24" "36"
"1993" "localN3" "20" "31" "43"
"1994" "localN3" "6" "13" "23"
"1995" "localN3" "8" "16" "26"
"1996" "localN3" "11" "19" "29"
"1997" "localN3" "8" "15" "25"
"1998" "localN3" "9" "18" "28"
"1999" "localN3" "12" "21" "32"
"2000" "localN3" "10" "19" "29"
"2001" "localN3" "13" "22" "32"
"2002" "localN3" "6" "13" "22"
"2003" "localN3" "18" "30" "40"
"2004" "localN3" "4" "9" "17.0249999999999"
"2005" "localN3" "8.975" "18" "28"
"2006" "localN3" "4" "10" "18"
"2007" "localN3" "13" "23" "38"
"2008" "localN3" "10" "20" "34"
"2009" "localN3" "9" "19" "33"
"2010" "localN3" "9" "19" "33"
"2011" "localN3" "12" "21" "32"
"2012" "localN3" "16" "26" "38"
"2013" "localN3" "10" "19" "30"
"2014" "localN3" "15" "27" "38"
"2015" "localN3" "12" "21" "33"
"2016" "localN3" "17" "28" "41"
"2017" "localN3" "23" "35" "48.0249999999999"
"2018" "localN3" "13" "23" "36"
"2019" "localN3" "19" "32" "45"
"2020" "localN3" "22" "36" "54"
"1973" "localN4" "1" "9" "24"
"1974" "localN4" "30" "43" "59"
"1975" "localN4" "22.975" "35" "50"
"1976" "localN4" "17.975" "29" "44"
"1977" "localN4" "16" "26" "41"
"1978" "localN4" "9" "19" "30"
"1979" "localN4" "4" "11" "18"
"1980" "localN4" "7" "16" "25"
"1981" "localN4" "9" "17" "27"
"1982" "localN4" "9" "17" "27"
"1983" "localN4" "15" "25" "37"
"1984" "localN4" "12" "21" "32"
"1985" "localN4" "3" "10" "18.0249999999999"
"1986" "localN4" "3" "9" "17"
"1987" "localN4" "4" "10" "17"
"1988" "localN4" "3" "8" "16"
"1989" "localN4" "6" "13" "22"
"1990" "localN4" "12" "20" "30"
"1991" "localN4" "15" "25" "36"
"1992" "localN4" "5" "12" "21"
"1993" "localN4" "6" "13" "23"
"1994" "localN4" "7" "15" "25"
"1995" "localN4" "3" "9" "16"
"1996" "localN4" "7" "14" "23"
"1997" "localN4" "3" "11" "19"
"1998" "localN4" "4" "10" "18"
"1999" "localN4" "7" "15.5" "25"
"2000" "localN4" "6" "13" "23"
"2001" "localN4" "8" "16" "26"
"2002" "localN4" "7" "15" "25"
"2003" "localN4" "6" "14" "24"
"2004" "localN4" "5" "12" "21"
"2005" "localN4" "3" "9" "18"
"2006" "localN4" "2" "8" "16"
"2007" "localN4" "4" "11" "21"
"2008" "localN4" "9" "18" "30"
"2009" "localN4" "6" "15" "27"
"2010" "localN4" "7" "16" "27"
"2011" "localN4" "7" "16" "26.0249999999999"
"2012" "localN4" "8" "17" "27"
"2013" "localN4" "6" "14" "23"
"2014" "localN4" "9" "18" "30"
"2015" "localN4" "12" "21" "33"
"2016" "localN4" "13" "24" "37"
"2017" "localN4" "18" "30" "46"
"2018" "localN4" "17" "26" "39"
"2019" "localN4" "17" "29" "44"
"2020" "localN4" "22" "37" "56"
"1973" "fec1" "0.0785035149046079" "0.138277243143578" "0.212618073847544"
"1974" "fec1" "0.203713748244657" "0.291655377294748" "0.415899121871606"
"1975" "fec1" "0.0492860711491128" "0.0871522699812947" "0.141605127843087"
"1976" "fec1" "0.246131327384788" "0.362649198133674" "0.549498324135602"
"1977" "fec1" "0.0763985980331641" "0.122070473844678" "0.185607876808275"
"1978" "fec1" "0.0520045631598002" "0.0979986407926336" "0.163575472204119"
"1979" "fec1" "0.428791842462314" "0.616064323616786" "0.845608898455976"
"1980" "fec1" "0.106420547414278" "0.167852535873964" "0.24311168689323"
"1981" "fec1" "0.0545706376291167" "0.105296471517176" "0.165992106275851"
"1982" "fec1" "0.119552391237582" "0.19824596802982" "0.302423959784802"
"1983" "fec1" "0.101315265632368" "0.171401382300451" "0.272889778135246"
"1984" "fec1" "0.0235262982994704" "0.0480828623510643" "0.0875931763948162"
"1985" "fec1" "0.193786420669956" "0.310232871444336" "0.521901878371156"
"1986" "fec1" "0.279652148884776" "0.393171974660497" "0.538612974716997"
"1987" "fec1" "0.225726346291051" "0.33536089684913" "0.463030317962418"
"1988" "fec1" "0.0140368518486351" "0.0357001498587141" "0.0696885672207079"
"1989" "fec1" "0.0839520718375119" "0.157514572071386" "0.280961987172933"
"1990" "fec1" "0.346718678580799" "0.486840831720397" "0.672662969188851"
"1991" "fec1" "0.0519622884846722" "0.092560234617638" "0.149790553134242"
"1992" "fec1" "0.140278063376687" "0.219909865927174" "0.351217005400287"
"1993" "fec1" "0.0298986232618323" "0.0644189655291962" "0.108901640815583"
"1994" "fec1" "0.0417086142265189" "0.0830228110570776" "0.148304643164348"
"1995" "fec1" "0.287201069146675" "0.416435902030833" "0.581350217389459"
"1996" "fec1" "0.0494914529582372" "0.0900347842759085" "0.146957753379787"
"1997" "fec1" "0.0484144818152566" "0.0957676509330139" "0.167304818057348"
"1998" "fec1" "0.162567103712121" "0.247554495589093" "0.372336294699128"
"1999" "fec1" "0.0621780032627896" "0.112941670239746" "0.191151335965183"
"2000" "fec1" "0.277250652832953" "0.417333553304022" "0.613228210913208"
